rx	ry	rz	vx	vy	vz	time	mass	ax	ay	bx	by	cx	cy	rw	rn	flags	ui
  5.686055 	 -0.799429 	  3.004579 	-3740.652344 	 -0.000000 	115707.601563 	  8.27 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.148361 	    1 	  271 	  128 	  529
  6.088829 	 -0.718281 	  3.000821 	3861.114014 	 -0.000000 	114427.476563 	  8.19 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.932594 	    1 	  290 	  128 	  548
 -7.640999 	  1.169470 	  3.005747 	630.219971 	 -0.000000 	111935.203125 	 25.45 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.322586 	    1 	  732 	  128 	  990
  1.955930 	  2.950448 	  3.002295 	-3156.964355 	 -0.000000 	126239.289063 	 10.40 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.567459 	    1 	 1149 	  128 	 1407
 -1.517141 	  3.578274 	  3.001437 	3519.355713 	 -0.000000 	126783.593750 	 25.78 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.590050 	    1 	 1296 	  128 	 1554
  5.840777 	 -0.778074 	  3.001994 	3067.774902 	 -0.000000 	114849.164063 	  8.49 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.530083 	    1 	 2276 	  128 	 2534
  5.846826 	 -0.756720 	  3.001928 	-2240.304932 	 -0.000000 	115997.843750 	  8.13 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.893562 	    1 	 2281 	  128 	 2539
  6.183335 	 -0.671301 	  3.000862 	3759.646240 	 -0.000000 	114686.453125 	  8.06 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.877594 	    1 	 2301 	  128 	 2559
  5.735994 	 -0.504735 	  3.002273 	3070.032959 	 -0.000000 	114616.414063 	  8.66 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.534317 	    1 	 2340 	  128 	 2598
  2.510711 	  3.134098 	  3.003537 	2803.593750 	 -0.000000 	125038.679688 	 10.24 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.284462 	    1 	 3192 	  128 	 3450
  4.492508 	 -1.205167 	  3.004877 	2170.306152 	 -0.000000 	120771.828125 	 25.63 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.029510 	    1 	 4176 	  128 	 4434
  5.866809 	 -1.038601 	  3.004537 	2550.665283 	 -0.000000 	114873.546875 	  8.67 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.271996 	    1 	 4215 	  128 	 4473
  5.809921 	 -0.884847 	  3.000523 	-185.755325 	 -0.000000 	115352.101563 	  8.35 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.907738 	    1 	 4251 	  128 	 4509
  2.209610 	 -0.444942 	  3.001426 	1659.115967 	 -0.000000 	125902.718750 	 10.14 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.754990 	    1 	 4354 	  128 	 4612
  5.697593 	  3.112743 	  3.002922 	-4043.079102 	 -0.000000 	115940.429688 	  8.27 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.002792 	    1 	 5187 	  128 	 5445
