rx	ry	rz	vx 	vy 	vz 	time 	mass	ax	ay	bx	by	cx	cy	rw	rn	flags	ui
 -1.830549 	 -4.190756 	  3.001410 	521.189026 	 -0.000000 	122563.210938 	  8.83 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.243645 	    1 	  902 	  128 	375893
  2.565126 	 -0.099269 	  3.000968 	-3081.871338 	 -0.000000 	115552.304688 	  4.83 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.472237 	    1 	 1381 	  128 	376372
  4.151197 	  0.225316 	  3.002993 	2068.566162 	 -0.000000 	93673.312500 	 17.08 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.265045 	    1 	 1419 	  128 	376410
  4.119476 	  6.204773 	  3.006126 	-3760.801514 	 -0.000000 	115588.554688 	 12.38 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.136475 	    1 	 2119 	  128 	377110
  2.026567 	 -4.088255 	  3.004584 	202.877274 	 -0.000000 	115262.023438 	  5.68 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.100845 	    1 	 2914 	  128 	377905
 -4.103959 	  8.459789 	  3.004886 	-1967.150146 	 -0.000000 	121716.757813 	 17.13 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.074081 	    1 	 4383 	  128 	379374
  2.039461 	 -3.849087 	  3.003220 	2887.506592 	 -0.000000 	114602.085938 	  5.80 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.443314 	    1 	 6942 	  128 	381933
  2.565958 	  0.199691 	  3.000823 	2663.571045 	 -0.000000 	114839.554688 	  5.06 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.328674 	    1 	 7416 	  128 	382407
 -1.944787 	  4.154510 	  3.001523 	1668.140625 	 -0.000000 	123650.976563 	  8.64 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.772911 	    1 	 7879 	  128 	382870
 -0.509585 	  0.225316 	  3.003625 	3815.883301 	 -0.000000 	121715.492188 	 11.19 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.795685 	    1 	 9419 	  128 	384410
  2.001948 	  3.855549 	  3.002911 	-375.501373 	 -0.000000 	115271.429688 	  5.72 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.813354 	    1 	 9844 	  128 	384835
  0.193740 	 -8.222450 	  3.000090 	3477.095459 	 -0.000000 	131916.593750 	 20.62 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.509872 	    1 	12430 	  128 	387421
 -1.831723 	 -3.780753 	  3.000456 	923.324036 	 -0.000000 	123962.632813 	  8.51 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.426758 	    1 	12950 	  128 	387941
  2.201562 	 -0.065103 	  3.001435 	-684.768494 	 -0.000000 	115059.242188 	  5.44 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.659012 	    1 	13385 	  128 	388376
 -2.231935 	  6.537901 	  3.004641 	-719.812195 	 -0.000000 	127281.703125 	 15.11 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.675980 	    1 	14158 	  128 	389149
 -0.070029 	 -8.521410 	  3.001792 	-3103.110840 	 -0.000000 	122102.015625 	 19.77 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.544197 	    1 	14395 	  128 	389386
  1.952830 	 -0.218854 	  3.001147 	-1811.484619 	 -0.000000 	115470.906250 	  5.78 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.101227 	    1 	15367 	  128 	390358
 -2.139294 	  3.753048 	  3.000230 	-2261.230713 	 -0.000000 	123495.117188 	  8.77 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.951012 	    1 	15832 	  128 	390823
 -2.032471 	 -3.874712 	  3.004745 	-3731.457520 	 -0.000000 	124652.617188 	  8.36 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	123.285370 	    1 	20939 	  128 	395930
  2.166469 	  3.983675 	  3.003087 	-1009.073303 	 -0.000000 	115597.765625 	  5.49 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.499870 	    1 	21859 	  128 	396850
 -3.920488 	  8.263329 	  3.004060 	-478.483643 	 -0.000000 	120659.992188 	 17.32 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.772789 	    1 	22360 	  128 	397351
 -0.051619 	 -0.065103 	  3.006093 	3141.507080 	 -0.000000 	97876.359375 	 19.79 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.838371 	    1 	23385 	  128 	398376
  2.154081 	 -3.960129 	  3.000061 	3980.404053 	 -0.000000 	114230.734375 	  5.72 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.995682 	    1 	26929 	  128 	401920
