rx	ry	rz	vx 	vy	vz 	time	mass	ax	ay	bx	by	cx	cy	rw	rn	flags	ui
 -6.624206 	  2.117630 	  3.000100 	-249.240448 	 -0.000000 	99846.531250 	  7.93 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.856979 	    1 	   81 	  128 	372801
 -6.695945 	  2.121901 	  3.000896 	1482.393677 	 -0.000000 	97107.632813 	  8.58 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.874580 	    1 	   82 	  128 	372802
 -6.213977 	  1.908351 	  3.002116 	2653.138916 	 -0.000000 	97284.828125 	  7.96 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.562172 	    1 	 2032 	  128 	374752
 -6.906755 	  1.938248 	  3.000818 	-371.614746 	 -0.000000 	100004.007813 	  8.34 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.787086 	    1 	 2039 	  128 	374759
 -6.548571 	  2.126172 	  3.001459 	1506.570190 	 -0.000000 	97377.148438 	  8.30 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	125.886383 	    1 	 2083 	  128 	374803
 -6.405795 	  2.147527 	  3.003729 	2494.535156 	 -0.000000 	97310.750000 	  8.13 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.468437 	    1 	 2088 	  128 	374808
 -6.249852 	  2.292741 	  3.002084 	2300.901855 	 -0.000000 	97832.859375 	  7.82 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	126.347275 	    1 	 2122 	  128 	374842
 -6.309039 	 -2.161762 	  3.000893 	-2119.185303 	 -0.000000 	97662.476563 	  7.92 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	123.756927 	    1 	 3079 	  128 	375799
 -6.489957 	 -2.123323 	  3.000466 	-1304.344482 	 -0.000000 	97084.101563 	  8.24 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.230263 	    1 	 3088 	  128 	375808
 -6.559021 	  2.228676 	  3.000418 	-1752.409302 	 -0.000000 	101326.976563 	  7.65 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	 -0.000000 	  0.000000 	124.009193 	    1 	 4107 	  128 	376827
 -6.249722 	 -2.033632 	  3.002355 	-1423.830200 	 -0.000000 	96716.796875 	  7.98 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	124.156570 	    1 	 5109 	  128 	377829
 -6.477394 	 -1.956754 	  3.001178 	1366.530273 	 -0.000000 	96503.023438 	  8.53 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	125.811279 	    1 	 5127 	  128 	377847
 -6.346635 	 -1.909773 	  3.000456 	3293.862305 	 -0.000000 	95574.734375 	  8.50 	 2.299E+0001 	 35.000000 	  0.000000 	 -0.000000 	  0.000000 	  0.000000 	126.973846 	    1 	 5138 	  128 	377858
